k,yx,yy,Sx,Sy,NIS,q,r
247,0.276137,0.170634,4.084021,4.084021,0.025800,1.000000,4.000000
248,1.168000,1.636454,4.083927,4.083927,0.989784,1.000000,4.000000
249,2.968754,-2.879659,4.083835,4.083835,4.188694,1.000000,4.000000
250,-0.809581,-2.848937,4.083745,4.083745,2.147995,1.000000,4.000000
251,-1.883695,-0.928793,4.083658,4.083658,1.080150,1.000000,4.000000
252,3.349719,-2.114308,4.083573,4.083573,3.842447,1.000000,4.000000
253,3.933284,1.759488,4.083489,4.083489,4.546729,1.000000,4.000000
254,0.101441,-0.605190,4.083408,4.083408,0.092213,1.000000,4.000000
255,-2.274586,1.236209,4.083329,4.083329,1.641297,1.000000,4.000000
256,-1.416988,-1.298676,4.083252,4.083252,0.904772,1.000000,4.000000
257,-0.345394,-2.435740,4.083177,4.083177,1.482210,1.000000,4.000000
258,1.104831,2.991248,4.083104,4.083104,2.490315,1.000000,4.000000
259,2.607376,1.892286,4.083033,4.083033,2.542022,1.000000,4.000000
260,-1.875903,4.427853,4.082963,4.082963,5.663753,1.000000,4.000000
261,0.293102,2.821503,4.082895,4.082895,1.970854,1.000000,4.000000
262,2.256518,1.298041,4.082829,4.082829,1.659826,1.000000,4.000000
263,1.598687,-4.070107,4.082765,4.082765,4.683486,1.000000,4.000000
264,-2.772198,-1.053052,4.082702,4.082702,2.153966,1.000000,4.000000
265,2.387819,1.835935,4.082642,4.082642,2.222173,1.000000,4.000000
266,0.949952,1.147536,4.082582,4.082582,0.543589,1.000000,4.000000
267,0.860854,-0.837307,4.082525,4.082525,0.353250,1.000000,4.000000
268,3.123403,-3.589528,4.082469,4.082469,5.545752,1.000000,4.000000
269,-1.673365,0.062447,4.082414,4.082414,0.686861,1.000000,4.000000
270,-0.303346,0.704869,4.082361,4.082361,0.144245,1.000000,4.000000
271,-0.728377,0.074237,4.082309,4.082309,0.131309,1.000000,4.000000
272,0.583378,0.205740,4.082259,4.082259,0.093737,1.000000,4.000000
273,0.937811,0.084322,4.082210,4.082210,0.217186,1.000000,4.000000
274,6.518570,0.445461,4.082163,4.082163,10.457737,1.000000,4.000000
275,4.408229,0.093936,4.082117,4.082117,4.762556,1.000000,4.000000
276,-1.677493,-1.583805,4.082072,4.082072,1.303852,1.000000,4.000000
277,1.222434,0.024502,4.082029,4.082029,0.366226,1.000000,4.000000
278,4.595296,1.824438,4.081987,4.081987,5.988585,1.000000,4.000000
279,-0.279948,0.581288,4.081946,4.081946,0.101977,1.000000,4.000000
280,0.891940,-0.983576,4.081906,4.081906,0.431901,1.000000,4.000000
281,0.230859,-0.909318,4.081868,4.081868,0.215625,1.000000,4.000000
282,-0.452705,-1.559392,4.081830,4.081830,0.645947,1.000000,4.000000
283,1.475240,-1.848065,4.081794,4.081794,1.369907,1.000000,4.000000
284,0.673889,1.687441,4.081759,4.081759,0.808863,1.000000,4.000000
285,3.214221,-2.047473,4.081725,4.081725,3.558144,1.000000,4.000000
286,-2.429503,1.422894,4.081692,4.081692,1.942114,1.000000,4.000000
287,-2.281759,-0.278666,4.081660,4.081660,1.294591,1.000000,4.000000
288,0.228899,-0.176855,4.081629,4.081629,0.020500,1.000000,4.000000
289,-1.764870,0.446942,4.081599,4.081599,0.812065,1.000000,4.000000
290,2.596773,0.950296,4.081570,4.081570,1.873371,1.000000,4.000000
291,-0.209746,1.194919,4.081542,4.081542,0.360605,1.000000,4.000000
292,-0.033850,-0.774781,4.081514,4.081514,0.147355,1.000000,4.000000
293,-1.463516,-0.468496,4.081488,4.081488,0.578556,1.000000,4.000000
294,1.483711,-0.973591,4.081463,4.081463,0.771605,1.000000,4.000000
295,3.501077,2.571294,4.081438,4.081438,4.623148,1.000000,4.000000
296,-2.057987,-0.982197,4.081414,4.081414,1.274074,1.000000,4.000000
297,1.653416,2.019733,4.081391,4.081391,1.669310,1.000000,4.000000
298,-1.528221,0.580047,4.081369,4.081369,0.654662,1.000000,4.000000
299,-1.662970,-0.546598,4.081348,4.081348,0.750791,1.000000,4.000000
300,-0.172681,-2.965268,4.081327,4.081327,2.161706,1.000000,4.000000
301,1.233076,1.125219,4.081307,4.081307,0.682770,1.000000,4.000000
302,-0.557701,0.633884,4.081288,4.081288,0.174660,1.000000,4.000000
303,-0.459499,1.252848,4.081269,4.081269,0.436327,1.000000,4.000000
304,-0.155961,4.134862,4.081251,4.081251,4.195138,1.000000,4.000000
305,1.128581,-0.319503,4.081234,4.081234,0.337098,1.000000,4.000000
306,-1.599191,2.434405,4.081217,4.081217,2.078728,1.000000,4.000000
307,-0.315009,-1.403129,4.081201,4.081201,0.506714,1.000000,4.000000
308,1.348376,-4.704096,4.081186,4.081186,5.867568,1.000000,4.000000
309,2.732567,0.193992,4.081171,4.081171,1.838824,1.000000,4.000000
310,-1.126725,-2.347392,4.081156,4.081156,1.661234,1.000000,4.000000
311,-2.540350,3.454219,4.081143,4.081143,4.504867,1.000000,4.000000
312,1.308794,-1.984104,4.081129,4.081129,1.384325,1.000000,4.000000
313,3.014095,0.914483,4.081117,4.081117,2.430964,1.000000,4.000000
314,-0.467636,-1.251381,4.081104,4.081104,0.437293,1.000000,4.000000
315,0.280926,-2.120031,4.081093,4.081093,1.120644,1.000000,4.000000
316,2.267548,0.435559,4.081081,4.081081,1.306390,1.000000,4.000000
317,-0.207436,-2.568157,4.081070,4.081070,1.626647,1.000000,4.000000
318,-1.747088,-2.507050,4.081060,4.081060,2.288037,1.000000,4.000000
319,2.814950,0.631401,4.081050,4.081050,2.039331,1.000000,4.000000
320,0.480089,-4.371138,4.081041,4.081041,4.738334,1.000000,4.000000
321,-1.596468,0.778976,4.081031,4.081031,0.773215,1.000000,4.000000
322,-1.174077,-0.753986,4.081023,4.081023,0.477075,1.000000,4.000000
323,-1.166851,0.787614,4.081014,4.081014,0.485633,1.000000,4.000000
324,0.893436,-0.732760,4.081006,4.081006,0.327166,1.000000,4.000000
325,2.038146,0.272295,4.080999,4.080999,1.036066,1.000000,4.000000
326,2.465974,1.125227,4.080991,4.080991,1.800338,1.000000,4.000000
327,-3.654830,0.730907,4.080984,4.080984,3.404083,1.000000,4.000000
328,0.801038,0.797506,4.080978,4.080978,0.313081,1.000000,4.000000
329,-0.193830,0.932817,4.080971,4.080971,0.222427,1.000000,4.000000
