k,zx,zy,valid
396,6.105062,1.546293,1
397,12.691550,4.767413,1
398,4.748789,6.161992,1
399,-28.707246,-34.147785,1
400,9.730128,4.700484,1
401,7.447904,1.172201,1
402,5.735989,3.606205,1
403,8.262466,0.391767,1
404,4.411310,4.700269,1
405,0.000000,0.000000,0
406,8.576905,4.462421,1
407,0.000000,0.000000,0
408,7.356571,6.120720,1
409,9.002573,0.317755,1
410,-22.082701,-30.889409,1
411,8.486733,1.659060,1
412,7.276749,6.423890,1
413,0.000000,0.000000,0
414,10.723901,55.198317,1
415,6.776188,2.384799,1
416,4.070659,5.270932,1
417,5.879962,7.331068,1
418,7.559991,2.151733,1
419,6.111881,4.228781,1
420,-71.265831,70.528479,1
421,-63.367755,-14.724693,1
422,-14.954782,-53.018964,1
423,3.329693,24.040084,1
424,-61.919711,53.496426,1
425,12.775285,3.165623,1
426,-27.791402,56.468497,1
427,9.711259,5.386154,1
428,7.899916,7.295808,1
429,8.887981,1.950256,1
430,-4.739551,70.424085,1
431,4.362273,4.126045,1
432,4.778713,6.151973,1
433,8.602438,2.886626,1
434,8.478469,3.262965,1
435,6.110138,7.065401,1
436,8.786715,7.863744,1
437,7.451332,4.933022,1
438,9.609985,2.654732,1
439,10.950552,3.387476,1
440,0.000000,0.000000,0
441,-64.571593,70.305484,1
442,0.000000,0.000000,0
443,9.076856,5.700915,1
444,47.114671,-55.763515,1
445,0.000000,0.000000,0
446,11.830357,7.077045,1
447,8.025336,3.334515,1
448,3.102008,2.168765,1
449,-48.182276,23.693978,1
450,8.726667,1.944246,1
451,9.661964,4.680147,1
452,7.640542,1.053855,1
453,11.251871,6.867536,1
454,12.622205,3.791689,1
455,0.000000,0.000000,0
456,6.863287,3.636530,1
457,-72.483670,24.838944,1
458,8.451691,7.246578,1
459,8.235165,7.120512,1
460,10.046902,1.264174,1
461,11.672179,3.712262,1
462,28.638579,51.032515,1
463,1.963666,20.311938,1
464,-24.426438,-76.160859,1
465,11.248792,5.760407,1
