k,yx,yy,Sx,Sy,NIS,q,r
215,5.984254,-2.393981,4.088482,4.088482,10.160848,1.000000,4.000000
216,-4.991032,8.031197,4.088292,4.088292,21.869895,1.000000,4.000000
217,3.626218,10.779044,4.088106,4.088106,31.637453,1.000000,4.000000
218,-0.450200,-4.192411,4.087923,4.087923,4.349149,1.000000,4.000000
219,-5.645202,-2.279083,4.087744,4.087744,9.066742,1.000000,4.000000
220,-6.694034,0.296372,4.087569,4.087569,10.984017,1.000000,4.000000
221,-1.323454,3.303392,4.087397,4.087397,3.098286,1.000000,4.000000
222,8.862773,4.124412,4.087229,4.087229,23.380025,1.000000,4.000000
223,-14.355145,3.141226,4.087064,4.087064,52.834378,1.000000,4.000000
224,7.834446,-4.140564,4.086903,4.086903,19.213281,1.000000,4.000000
225,-0.917175,9.607091,4.086745,4.086745,22.790121,1.000000,4.000000
226,-1.750514,3.981091,4.086590,4.086590,4.628158,1.000000,4.000000
227,5.448986,2.048310,4.086439,4.086439,8.292555,1.000000,4.000000
228,0.616526,4.111980,4.086291,4.086291,4.230850,1.000000,4.000000
229,-9.197245,-2.778584,4.086146,4.086146,22.590933,1.000000,4.000000
230,3.597481,-14.181782,4.086004,4.086004,52.389772,1.000000,4.000000
231,0.760003,3.147480,4.085865,4.085865,2.565977,1.000000,4.000000
232,1.869356,0.264584,4.085729,4.085729,0.872426,1.000000,4.000000
233,-1.251970,-1.701732,4.085596,4.085596,1.092452,1.000000,4.000000
234,7.053264,4.268553,4.085466,4.085466,16.636799,1.000000,4.000000
235,7.738369,-3.643905,4.085339,4.085339,17.908037,1.000000,4.000000
236,2.876999,-7.520836,4.085215,4.085215,15.871893,1.000000,4.000000
237,-1.165616,-8.314473,4.085093,4.085093,17.255204,1.000000,4.000000
238,-12.177253,-1.570328,4.084975,4.084975,36.903880,1.000000,4.000000
239,3.611600,-12.366964,4.084858,4.084858,40.634324,1.000000,4.000000
240,2.156014,7.826416,4.084745,4.084745,16.133487,1.000000,4.000000
241,-15.852373,12.874305,4.084634,4.084634,102.101060,1.000000,4.000000
242,0.192868,-8.022412,4.084526,4.084526,15.765918,1.000000,4.000000
243,-17.791435,3.908683,4.084420,4.084420,81.238703,1.000000,4.000000
244,4.515104,-0.393031,4.084316,4.084316,5.029148,1.000000,4.000000
245,8.176992,2.994566,4.084215,4.084215,18.566754,1.000000,4.000000
246,-0.890208,-6.195504,4.084117,4.084117,9.592462,1.000000,4.000000
247,2.761829,-6.842637,4.084021,4.084021,13.332299,1.000000,4.000000
248,7.565777,-1.817823,4.083927,4.083927,14.825307,1.000000,4.000000
249,-1.941084,-5.612351,4.083835,4.083835,8.635583,1.000000,4.000000
250,-5.222384,-6.938860,4.083745,4.083745,18.468604,1.000000,4.000000
251,-11.340263,5.002761,4.083658,4.083658,37.620482,1.000000,4.000000
252,4.427862,-2.977102,4.083573,4.083573,6.971616,1.000000,4.000000
253,2.053505,0.722943,4.083489,4.083489,1.160657,1.000000,4.000000
254,-0.556501,3.218801,4.083408,4.083408,2.613104,1.000000,4.000000
255,-8.581932,-5.776348,4.083329,4.083329,26.207965,1.000000,4.000000
256,2.276568,4.634556,4.083252,4.083252,6.529568,1.000000,4.000000
257,-0.358659,0.347099,4.083177,4.083177,0.061010,1.000000,4.000000
258,1.180469,-5.754553,4.083104,4.083104,8.451509,1.000000,4.000000
259,-2.694591,-0.625428,4.083033,4.083033,1.874093,1.000000,4.000000
260,-6.676658,-10.554936,4.082963,4.082963,38.203735,1.000000,4.000000
261,11.371680,-3.538713,4.082895,4.082895,34.739466,1.000000,4.000000
262,-3.423100,11.896176,4.082829,4.082829,37.531969,1.000000,4.000000
263,-4.153829,-0.059353,4.082765,4.082765,4.226993,1.000000,4.000000
264,-3.240991,-0.101135,4.082702,4.082702,2.575316,1.000000,4.000000
265,-6.312777,3.369996,4.082642,4.082642,12.542866,1.000000,4.000000
266,3.956456,-0.631351,4.082582,4.082582,3.931861,1.000000,4.000000
267,7.967994,-3.864362,4.082525,4.082525,19.209246,1.000000,4.000000
268,3.124856,-14.404850,4.082469,4.082469,53.218889,1.000000,4.000000
269,-5.178663,-1.550325,4.082414,4.082414,7.158034,1.000000,4.000000
270,-6.145485,1.078354,4.082361,4.082361,9.536108,1.000000,4.000000
271,-0.540541,1.079478,4.082309,4.082309,0.357018,1.000000,4.000000
272,3.057030,-5.547708,4.082259,4.082259,9.828505,1.000000,4.000000
273,0.127468,8.607961,4.082210,4.082210,18.155176,1.000000,4.000000
274,-2.540226,3.065856,4.082163,4.082163,3.883289,1.000000,4.000000
275,0.367897,0.646393,4.082117,4.082117,0.135511,1.000000,4.000000
276,-6.220341,-2.637327,4.082072,4.082072,11.182587,1.000000,4.000000
277,-3.655027,2.911467,4.082029,4.082029,5.349267,1.000000,4.000000
278,2.285562,11.309226,4.081987,4.081987,32.612157,1.000000,4.000000
279,8.483313,4.331363,4.081946,4.081946,22.226483,1.000000,4.000000
280,7.586569,9.747275,4.081906,4.081906,37.376016,1.000000,4.000000
281,8.599646,-5.992693,4.081868,4.081868,26.915690,1.000000,4.000000
282,9.364353,1.885223,4.081830,4.081830,22.353987,1.000000,4.000000
283,-2.195771,10.611435,4.081794,4.081794,28.767735,1.000000,4.000000
284,-6.174838,-5.553270,4.081759,4.081759,16.896498,1.000000,4.000000
285,-1.433078,1.105223,4.081725,4.081725,0.802413,1.000000,4.000000
286,-1.965255,6.982750,4.081692,4.081692,12.891962,1.000000,4.000000
287,-3.732320,-7.991263,4.081660,4.081660,19.058545,1.000000,4.000000
288,9.462704,-3.558788,4.081629,4.081629,25.040921,1.000000,4.000000
289,0.015365,-1.140976,4.081599,4.081599,0.319008,1.000000,4.000000
290,-10.870579,-4.858755,4.081570,4.081570,34.735899,1.000000,4.000000
291,3.038535,4.313059,4.081542,4.081542,6.819769,1.000000,4.000000
292,-3.156695,-1.258451,4.081514,4.081514,2.829445,1.000000,4.000000
293,-8.155349,4.708475,4.081488,4.081488,21.727237,1.000000,4.000000
294,10.823559,-4.629978,4.081463,4.081463,33.955012,1.000000,4.000000
295,5.320222,-4.529267,4.081438,4.081438,11.961230,1.000000,4.000000
296,-2.099437,-3.241894,4.081414,4.081414,3.654987,1.000000,4.000000
297,-3.835752,-7.531796,4.081391,4.081391,17.504067,1.000000,4.000000
298,3.133751,4.745815,4.081369,4.081369,7.924584,1.000000,4.000000
299,11.704705,-1.993967,4.081348,4.081348,34.541537,1.000000,4.000000
300,-0.443578,4.805347,4.081327,4.081327,5.706017,1.000000,4.000000
301,0.810166,5.238654,4.081307,4.081307,6.885016,1.000000,4.000000
302,8.396383,2.148914,4.081288,4.081288,18.405238,1.000000,4.000000
303,3.688561,-4.945135,4.081269,4.081269,9.325491,1.000000,4.000000
304,-3.348189,3.289665,4.081251,4.081251,5.398409,1.000000,4.000000
305,-1.083433,5.333424,4.081234,4.081234,7.257422,1.000000,4.000000
306,8.909730,-10.460864,4.081217,4.081217,46.263888,1.000000,4.000000
307,3.667655,0.756159,4.081201,4.081201,3.436113,1.000000,4.000000
308,3.957123,10.647722,4.081186,4.081186,31.616500,1.000000,4.000000
309,5.569870,5.725614,4.081171,4.081171,15.634265,1.000000,4.000000
310,4.689915,10.003151,4.081156,4.081156,29.907781,1.000000,4.000000
311,0.817137,4.159143,4.081143,4.081143,4.402243,1.000000,4.000000
312,-4.635418,-2.727028,4.081129,4.081129,7.087201,1.000000,4.000000
313,-1.087657,-4.418920,4.081117,4.081117,5.074556,1.000000,4.000000
314,6.965025,5.704587,4.081104,4.081104,19.860772,1.000000,4.000000
315,6.201700,-0.717069,4.081093,4.081093,9.550205,1.000000,4.000000
316,-13.580324,7.919601,4.081081,4.081081,60.558775,1.000000,4.000000
317,-4.614051,-5.487791,4.081070,4.081070,12.596037,1.000000,4.000000
318,-8.636985,10.036923,4.081060,4.081060,42.963672,1.000000,4.000000
319,-1.158285,6.029572,4.081050,4.081050,9.237173,1.000000,4.000000
320,1.309752,-4.162591,4.081041,4.081041,4.666117,1.000000,4.000000
321,11.258709,8.018918,4.081031,4.081031,46.816983,1.000000,4.000000
322,-4.341210,-4.153470,4.081023,4.081023,8.845189,1.000000,4.000000
323,-3.610504,-1.209320,4.081014,4.081014,3.552596,1.000000,4.000000
324,-2.686153,-1.201910,4.081006,4.081006,2.122027,1.000000,4.000000
325,-5.559078,-1.530104,4.080999,4.080999,8.146183,1.000000,4.000000
326,4.187065,-6.308860,4.080991,4.080991,14.048849,1.000000,4.000000
327,-13.548011,6.516256,4.080984,4.080984,55.381295,1.000000,4.000000
328,-2.703054,-5.120189,4.080978,4.080978,8.214415,1.000000,4.000000
329,2.541506,4.543292,4.080971,4.080971,6.640761,1.000000,4.000000
330,-3.258980,3.335178,4.080965,4.080965,5.328241,1.000000,4.000000
331,5.577521,-4.928147,4.080959,4.080959,13.574107,1.000000,4.000000
332,-3.618993,-7.110069,4.080954,4.080954,15.596893,1.000000,4.000000
333,-2.862270,-3.104563,4.080948,4.080948,4.369303,1.000000,4.000000
334,-0.287874,0.016554,4.080943,4.080943,0.020374,1.000000,4.000000
335,2.876230,0.176342,4.080939,4.080939,2.034776,1.000000,4.000000
336,-5.298861,-12.854374,4.080934,4.080934,47.369756,1.000000,4.000000
337,2.822747,7.550678,4.080930,4.080930,15.923000,1.000000,4.000000
338,-3.476690,-12.642357,4.080926,4.080926,42.126852,1.000000,4.000000
339,-8.388591,2.289355,4.080922,4.080922,18.527578,1.000000,4.000000
340,-0.416838,-0.715853,4.080918,4.080918,0.168148,1.000000,4.000000
341,-4.788866,12.770497,4.080915,4.080915,45.582633,1.000000,4.000000
342,-5.385927,9.187339,4.080912,4.080912,27.791685,1.000000,4.000000
343,3.125076,1.528063,4.080908,4.080908,2.965291,1.000000,4.000000
344,12.528283,2.992504,4.080905,4.080905,40.655920,1.000000,4.000000
345,-5.511547,-2.945288,4.080903,4.080903,9.569420,1.000000,4.000000
346,1.148063,2.734860,4.080900,4.080900,2.155777,1.000000,4.000000
347,1.157142,-1.316510,4.080898,4.080898,0.752819,1.000000,4.000000
348,7.760820,9.085191,4.080895,4.080895,34.985220,1.000000,4.000000
349,-0.538679,7.003203,4.080893,4.080893,12.089272,1.000000,4.000000
350,-2.307080,1.784975,4.080891,4.080891,2.085024,1.000000,4.000000
351,1.664708,-2.752836,4.080889,4.080889,2.536054,1.000000,4.000000
352,-4.648819,-4.187021,4.080887,4.080887,9.591704,1.000000,4.000000
353,5.382250,-6.977738,4.080886,4.080886,19.029555,1.000000,4.000000
354,-4.845417,4.581539,4.080884,4.080884,10.896798,1.000000,4.000000
355,-4.975457,-2.728534,4.080883,4.080883,7.890467,1.000000,4.000000
356,-8.463246,0.286486,4.080881,4.080881,17.571844,1.000000,4.000000
357,11.490185,3.162508,4.080880,4.080880,34.802740,1.000000,4.000000
358,-0.923912,-1.584358,4.080879,4.080879,0.824284,1.000000,4.000000
359,7.953713,-5.259093,4.080878,4.080878,22.279422,1.000000,4.000000
360,-3.149162,-12.970138,4.080877,4.080877,43.652800,1.000000,4.000000
361,-3.633749,2.080873,4.080876,4.080876,4.296668,1.000000,4.000000
362,-2.984829,-6.240829,4.080875,4.080875,11.727178,1.000000,4.000000
363,-6.322817,2.570164,4.080874,4.080874,11.415140,1.000000,4.000000
364,7.867415,0.065480,4.080874,4.080874,15.168443,1.000000,4.000000
365,-8.371464,-7.743844,4.080873,4.080873,31.867825,1.000000,4.000000
366,1.638692,2.163091,4.080872,4.080872,1.804583,1.000000,4.000000
367,9.636103,-5.167952,4.080872,4.080872,29.298203,1.000000,4.000000
368,-11.740590,-0.003145,4.080871,4.080871,33.777459,1.000000,4.000000
369,-1.115915,5.408375,4.080871,4.080871,7.472862,1.000000,4.000000
370,-10.928149,0.061723,4.080871,4.080871,29.265387,1.000000,4.000000
371,-5.169704,-4.544438,4.080870,4.080870,11.609720,1.000000,4.000000
372,2.101687,9.694758,4.080870,4.080870,24.113837,1.000000,4.000000
373,-7.925327,7.396134,4.080870,4.080870,28.796216,1.000000,4.000000
374,4.214870,2.231065,4.080869,4.080869,5.573024,1.000000,4.000000
375,1.814006,-1.485599,4.080869,4.080869,1.347169,1.000000,4.000000
376,-0.097718,4.599075,4.080869,4.080869,5.185425,1.000000,4.000000
377,4.022223,-1.884329,4.080869,4.080869,4.834503,1.000000,4.000000
378,-10.708924,1.934139,4.080869,4.080869,29.018810,1.000000,4.000000
379,2.033653,-0.100151,4.080868,4.080868,1.015905,1.000000,4.000000
380,-8.375872,-14.448957,4.080868,4.080868,68.350061,1.000000,4.000000
381,3.130624,-4.116764,4.080868,4.080868,6.554623,1.000000,4.000000
382,-8.397399,6.606484,4.080868,4.080868,27.974916,1.000000,4.000000
383,-5.037124,0.191746,4.080868,4.080868,6.226465,1.000000,4.000000
384,4.358213,-10.118076,4.080868,4.080868,29.741093,1.000000,4.000000
385,-6.283874,2.909964,4.080868,4.080868,11.751168,1.000000,4.000000
386,-0.679666,6.283794,4.080868,4.080868,9.789096,1.000000,4.000000
387,-0.978329,-8.871815,4.080868,4.080868,19.521883,1.000000,4.000000
388,0.256158,-1.666422,4.080868,4.080868,0.696563,1.000000,4.000000
389,-16.973434,2.820662,4.080868,4.080868,72.546726,1.000000,4.000000
390,-4.348815,4.748430,4.080868,4.080868,10.159549,1.000000,4.000000
391,3.283057,-8.403358,4.080868,4.080868,19.945483,1.000000,4.000000
392,-6.024148,0.754630,4.080868,4.080868,9.032350,1.000000,4.000000
393,-0.904106,3.130309,4.080868,4.080868,2.601466,1.000000,4.000000
